Date,Open,High,Low,Close,Volume,Cluster
2019-05-21,184.570007,185.699997,183.889999,184.820007,7502800.0,0
2019-05-20,181.880005,184.229996,181.369995,182.720001,10352000.0,0
2019-05-17,184.839996,187.580002,184.279999,185.300003,10485400.0,0
2019-05-16,185.050003,188.580002,185.050003,186.990005,12953100.0,0
2019-05-15,180.419998,187.279999,180.020004,186.270004,16746900.0,0
2019-05-14,182.520004,183.490005,178.100006,180.729996,17628100.0,0
2019-05-13,183.5,185.429993,180.839996,181.539993,16833300.0,0
2019-05-10,188.25,190.0,184.589996,188.339996,12578500.0,0
2019-05-09,187.199997,189.770004,186.259995,188.649994,12967000.0,0
2019-05-08,189.389999,190.720001,188.550003,189.539993,12505700.0,0
2019-05-07,192.539993,192.899994,187.850006,189.770004,16253000.0,0
2019-05-06,191.240005,194.279999,190.550003,193.880005,13994900.0,0
2019-05-03,194.380005,196.160004,193.710007,195.470001,14575400.0,0
2019-05-02,193.0,194.0,189.75,192.529999,13209500.0,0
2019-05-01,194.779999,196.179993,193.009995,193.029999,15996600.0,0
2019-04-30,194.190002,197.389999,192.279999,193.399994,23494700.0,0
2019-04-29,190.949997,195.410004,190.649994,194.779999,19641300.0,0
2019-04-26,192.5,192.899994,189.089996,191.490005,22075000.0,0
2019-04-25,196.979996,198.479996,192.119995,193.259995,54148800.0,0
2019-04-24,184.490005,185.139999,181.649994,182.580002,37289900.0,0
2019-04-23,182.740005,184.220001,181.479996,183.779999,19954800.0,0
2019-04-22,178.25,181.669998,178.25,181.440002,13389900.0,0
2019-04-18,178.800003,178.880005,177.339996,178.279999,11655600.0,0
2019-04-17,179.600006,180.740005,178.360001,178.779999,9973700.0,0
2019-04-16,179.0,180.169998,178.300003,178.869995,11215200.0,0
2019-04-15,178.5,180.5,176.869995,179.649994,10834800.0,0
2019-04-12,178.0,179.630005,177.949997,179.100006,12329800.0,0
2019-04-11,178.240005,178.399994,177.0,177.509995,8071000.0,0
2019-04-10,178.179993,178.789993,176.539993,177.820007,11701500.0,0
2019-04-09,175.619995,179.190002,175.550003,177.580002,19751000.0,0
2019-04-08,175.210007,175.5,174.229996,174.929993,7297400.0,0
2019-04-05,176.880005,177.0,175.100006,175.720001,9594100.0,0
2019-04-04,176.020004,178.0,175.529999,176.020004,17847700.0,0
2019-04-03,174.5,177.960007,172.949997,173.539993,27391100.0,0
2019-04-02,170.139999,174.899994,169.550003,174.199997,23946500.0,0
2019-04-01,167.830002,168.899994,167.279999,168.699997,10381500.0,0
